task,directive,feedback_loop,learning,none,not_classified,task_iteration,validation
"advise construction firms or government agencies on dam or road construction, foundation design, land use, or resource management.",,,0.5098039215686274,,0.49019607843137253,,
advise corporations on issues involving corporate image projects or problems.,0.26229508196721313,,,,0.4918032786885246,,0.2459016393442623
advise customer about or perform maintenance of software system.,,,0.56,,0.44,,
"advise customers concerning equipment operation, maintenance, or programming.",0.22598870056497178,0.14689265536723164,0.44067796610169485,,0.07909604519774012,0.10734463276836155,
advise customers of necessary actions and strategies for debt repayment.,0.20192307692307693,,0.3076923076923077,,0.15384615384615383,0.3365384615384615,
advise customers on plant selection or care.,0.17094017094017094,0.15384615384615383,0.5470085470085472,,0.1282051282051282,,
advise customers on product usage to improve production.,0.24285714285714285,,0.3285714285714285,,0.12857142857142856,0.3,
advise customers on substitution or modification of parts when identical replacements are not available.,,,,,1.0,,
"advise customers on the selection of medication brands, medical equipment, or healthcare supplies.",0.32608695652173914,,0.391304347826087,,0.2826086956521739,,
advise customers on use and care of merchandise.,0.25773195876288657,,0.3195876288659793,,0.2268041237113402,0.19587628865979384,
advise dealers and distributors on policies and operating procedures to ensure functional effectiveness of business.,,,,,1.0,,
"advise farmers and demonstrate techniques in areas such as feeding and health maintenance of livestock, growing and harvesting practices, and financial planning.",0.34883720930232565,,0.2558139534883721,,0.09302325581395349,0.3023255813953488,
advise farmers or growers of development programs or new equipment or techniques to aid in quality production.,,,,,1.0,,
"advise food service managers and organizations on sanitation, safety procedures, menu development, budgeting, and planning to assist with the establishment, operation, and evaluation of food service facilities and nutrition programs.",,,,,0.5833333333333334,0.41666666666666674,
advise internal management or business partners on the implementation or operation of compliance programs.,,,,,1.0,,
"advise licensees or other individuals or groups concerning licensing, permit, or passport regulations.",,,,,1.0,,
"advise management concerning personnel, managerial, and marketing policies and practices and their potential effects on organizational effectiveness and efficiency.",0.1200716845878136,0.05376344086021505,0.31899641577060933,0.026881720430107524,,0.37455197132616486,0.1057347670250896
"advise management on organizing, preparing, or implementing recruiting or retention programs.",,,,,1.0,,
"advise management on short-term and long-term financial objectives, policies, and actions.",,,,,1.0,,
"advise managers and employees on state and federal employment regulations, collective agreements, benefit and compensation policies, personnel procedures and classification programs.",,,,,1.0,,
"advise managers on organizational policy matters such as equal employment opportunity and sexual harassment, and recommend needed changes.",,,,,1.0,,
advise or assist in obtaining patents or meeting other legal requirements.,0.2,,0.4222222222222222,,0.2,0.17777777777777778,
advise or consult with individuals and institutions regarding issues such as the historical authenticity of materials or the customs of a specific historical period.,,,,,1.0,,
"advise or instruct patients regarding preventive dental care, the causes and treatment of dental problems, or oral health care services.",0.152,,0.6346666666666667,,0.07733333333333334,0.136,
advise participants in use of heat or ultraviolet treatments and hot baths.,,,0.8518518518518519,,0.1481481481481481,,
advise patients about recommended courses of treatment.,,,,,1.0,,
"advise patients and their families on nutritional principles, dietary plans and diet modifications, and food selection and preparation.",0.19162640901771336,0.07729468599033816,0.533011272141707,,0.008051529790660225,0.14653784219001612,0.043478260869565216
"advise patients, parents or guardians, and community members concerning diet, activity, hygiene, and disease prevention.",,,0.75,,0.25,,
"advise personnel about traffic problems, such as construction areas, accidents, congestion, weather conditions, or other hazards.",,,0.5,,0.5,,
"advise planning officials on project feasibility, cost-effectiveness, regulatory conformance, or possible alternatives.",,,,,1.0,,
advise producers about improved products and techniques that could enhance their animal production efforts.,,,,,1.0,,
"advise project teams on subjects such as premarket regulatory requirements, export and labeling requirements, or clinical study compliance issues.",,,0.7407407407407408,,0.25925925925925924,,
"advise retail customers or internal users on the appropriateness of parts, supplies, or materials requested.",0.35714285714285715,,,,0.6428571428571429,,
advise students on academic and vocational curricula and career issues.,0.19921875,,0.140625,,0.03515625,0.51953125,0.10546875
advise students on academic and vocational curricula and on career issues.,0.1720202874049028,0.015638207945900255,0.2020287404902789,0.013524936601859678,,0.4826711749788673,0.11411665257819104
"advise students on academic and vocational curricula, and on career issues.",0.21164021164021166,,0.12698412698412698,,0.026455026455026457,0.5185185185185185,0.1164021164021164
"advise students on academic and vocational curricula, career issues, and laboratory and field research.",0.31666666666666665,,,,0.28333333333333327,0.4,
"advise students on course selection, career decisions, and other academic and vocational concerns.",,,0.2586206896551724,,0.32758620689655177,0.41379310344827586,
"advise students on internships, prospective employers, and job placement services.",0.2647058823529412,,0.22058823529411764,,0.11029411764705882,0.4044117647058824,
"advise students on issues such as course selection, progress toward graduation, and career decisions.",0.22807017543859648,,0.18859649122807018,,0.05263157894736842,0.3815789473684211,0.14912280701754382
"aid patients in performing tasks, such as bathing or keeping beds, clothing, or living areas clean.",,,,,1.0,,
"allocate print space for story text, photos, and illustrations according to space parameters and copy significance, using knowledge of layout principles.",,,,,1.0,,
analyze all aspects of corporate logistics to determine the most cost-effective or efficient means of transporting products or supplies.,0.3269230769230769,,,,0.2692307692307692,0.40384615384615385,
analyze and classify risks and investments to determine their potential impacts on companies.,0.48872180451127817,,0.23308270676691728,,0.12030075187969924,0.15789473684210525,
"analyze and distill climate-related research findings to inform legislators, regulatory agencies, or other stakeholders.",,,,,1.0,,
analyze and evaluate patient data or test findings to diagnose nature or extent of mental disorder.,,,,,1.0,,
analyze and evaluate robotic systems or prototypes.,0.6666666666666665,,,,0.17829457364341084,0.15503875968992248,
"analyze and evaluate security operations to identify risks or opportunities for improvement through auditing, review, or assessment.",0.2631578947368421,0.15789473684210525,0.18947368421052638,,0.03684210526315789,0.2,0.15263157894736842
analyze and interpret data to increase the understanding of human social behavior.,0.5357142857142857,,,,0.4642857142857143,,
analyze and interpret news and information received from various sources to broadcast the information.,0.7011494252873564,,0.1839080459770115,,0.11494252873563218,,
"analyze and interpret patient, nursing, or information systems data to improve nursing services.",,,,,1.0,,
"analyze and interpret patients' histories, symptoms, physical findings, or diagnostic information to develop appropriate diagnoses.",0.1524822695035461,0.1347517730496454,0.5815602836879432,,0.05319148936170213,0.07801418439716312,
"analyze and interpret results from tests such as microbial or parasite tests, urine analyses, hormonal assays, fine needle aspirations (fnas), and polymerase chain reactions (pcrs).",,,,,1.0,,
analyze and modify compensation and benefits policies to establish competitive programs and ensure compliance with legal requirements.,0.37142857142857144,,,,0.22857142857142856,0.4,
"analyze and recommend chemical, biological, or other wastewater treatment methods to prepare water for industrial or domestic use.",,,0.36363636363636365,,0.3090909090909091,0.32727272727272727,
analyze and record personnel or operational data and write related activity reports.,,,,,1.0,,
"analyze and record test data to issue reports that use charts, graphs, or narratives.",0.5628415300546448,,,,0.14754098360655735,0.1912568306010929,0.09836065573770492
analyze and report computer network security breaches or attempted breaches.,0.2759493670886076,0.1620253164556962,0.28607594936708863,,0.03291139240506329,0.19240506329113924,0.05063291139240507
"analyze applicants' financial status, credit, and property evaluations to determine feasibility of granting loans.",,,,,1.0,,
analyze available data and consult with other scientists to determine parameters of experimentation and suitability of analytical models.,,,,,1.0,,
"analyze building codes, by-laws, space and site requirements, and other technical documents and reports to determine their effect on architectural designs.",,,0.4523809523809524,,0.5476190476190477,,
"analyze business operations, trends, costs, revenues, financial commitments, and obligations to project future revenues and expenses or to provide advice.",0.39698492462311563,0.0678391959798995,0.08542713567839195,,0.05025125628140704,0.39949748743718594,
analyze characteristics of animals to identify and classify them.,0.34,0.156,0.28,,0.008,0.124,0.092
analyze clinical data using appropriate statistical tools.,,,,,1.0,,
"analyze compensation policies, government regulations, and prevailing wage rates to develop competitive compensation plan.",0.44067796610169485,,,,0.2033898305084746,0.3559322033898305,
"analyze competitive market strategies through analysis of related product, market, or share trends.",0.2258064516129032,,0.28225806451612906,,0.08064516129032258,0.4112903225806452,
analyze completed police reports to determine what additional information and investigative work is needed.,,,,,1.0,,
"analyze complex systems to determine potential for further development, production, interoperability, compatibility, or usefulness in a particular area, such as aviation.",,,,,1.0,,
"analyze computer and information technologies to determine applicability to nursing practice, education, administration and research.",,,,,1.0,,
"analyze corporate intelligence data to identify trends, patterns, or warnings indicating threats to security of people, assets, information, or infrastructure.",0.25316455696202533,,0.4430379746835442,,0.056962025316455694,0.13924050632911392,0.10759493670886076
analyze credit data and financial statements to determine the degree of risk involved in extending credit or lending money.,0.35416666666666674,,,,0.3125,0.33333333333333326,
analyze customer bills and utility rate structures to select optimal rate structures for customers.,,,,,1.0,,
"analyze data from surveys, old records, or case studies, using statistical software.",0.4230769230769231,,0.17307692307692307,,0.19230769230769237,0.21153846153846156,
"analyze data such as interview notes, test results, and reference manuals to identify symptoms and to diagnose the nature of clients' problems.",0.18627450980392163,,0.4411764705882353,,0.11274509803921569,0.25980392156862747,
analyze data to assess distance learning program status or to inform decisions for distance learning programs.,0.37209302325581395,,,,0.16279069767441862,0.46511627906976744,
analyze data to determine answers to questions from customers or members of the public.,0.6666666666666665,,,,0.33333333333333326,,
analyze data to determine feasibility of product proposals.,,,,,0.673469387755102,0.326530612244898,
"analyze data to determine validity, quality, and scientific significance and to interpret correlations between human activities and environmental effects.",,,,,1.0,,
"analyze determinants responsible for specific inherited traits, and devise methods for altering traits or producing new traits.",0.29411764705882354,,0.48529411764705893,,0.22058823529411764,,
analyze developments in specific field to determine need for revisions in previously published materials and development of new material.,0.2073170731707317,,0.45121951219512196,,0.3414634146341464,,
"analyze electronics system requirements, capacity, cost, or customer needs to determine project feasibility.",,,,,1.0,,
analyze employment-related data and prepare required reports.,,,,,1.0,,
analyze energy bills including utility rates or tariffs to gather historical energy usage data.,,,,,1.0,,
analyze equipment performance records to assess equipment functioning.,,0.25,0.3684210526315789,,0.3815789473684211,,
analyze equipment performance records to determine the need for repair or replacement.,,,,,1.0,,
analyze existing development or manufacturing procedures and suggest improvements.,,,,,1.0,,
"analyze expenditures and other financial information to develop plans, policies, or budgets for increasing profits or improving services.",0.30612244897959184,,,,0.2653061224489796,0.4285714285714285,
analyze experimental data and interpret results to write reports and summaries of findings.,0.2832618025751073,0.1270386266094421,0.24120171673819743,0.013733905579399141,,0.1888412017167382,0.1459227467811159
analyze financial activities of establishments or departments and provide input into budget planning and preparation processes.,0.4411764705882353,,,,0.5588235294117647,,
"analyze financial data such as income growth, quality of management, and market share to determine expected profitability of loans.",,,,,1.0,,
analyze financial information obtained from clients to determine strategies for meeting clients' financial objectives.,0.2902097902097902,0.046620046620046623,0.2307692307692308,,0.011655011655011656,0.30303030303030304,0.11771561771561773
analyze financial or operational performance of companies facing financial difficulties to identify or recommend remedies.,0.4418604651162791,,0.22093023255813957,,0.12790697674418605,0.20930232558139536,
analyze genetic information to identify patients or families at risk for specific disorders or syndromes.,,,,,1.0,,
"analyze geographic distributions of physical and cultural phenomena on local, regional, continental, or global scales.",0.75,,,,0.25,,
"analyze geographic information systems (gis) data to identify spatial relationships or display results of analyses, using maps, graphs, or tabular data.",,,,,1.0,,
analyze information gathered by investigation and report findings and recommendations.,,,0.35416666666666674,,0.6458333333333335,,
analyze information obtained from management to conceptualize and define operational problems.,0.29791271347248577,0.03795066413662239,0.20683111954459205,0.03225806451612903,,0.349146110056926,0.07590132827324478
"analyze information processing or computation needs and plan and design computer systems, using techniques such as structured analysis, data modeling and information engineering.",0.3244274809160305,,0.20992366412213742,,0.09541984732824428,0.3702290076335878,
"analyze information to determine, recommend, and plan computer specifications and layouts, and peripheral equipment modifications.",0.21801346801346802,0.04377104377104377,0.4604377104377104,0.07323232323232323,,0.15488215488215487,0.04966329966329966
"analyze information to determine, recommend, and plan installation of a new system or modification of an existing system.",0.3474576271186441,,0.2711864406779661,,0.1864406779661017,0.19491525423728814,
"analyze information to determine, recommend, and plan layout, including type of computers and peripheral equipment modifications.",0.2057465366854797,0.0887634684453566,0.46126218573627503,0.014879425346331451,,0.18573627501282708,0.04361210877373011
analyze laboratory findings to check the accuracy of the results.,,,,,0.3703703703703704,,0.6296296296296297
"analyze large molecular datasets such as raw microarray data, genomic sequence data, and proteomics data for clinical or basic research purposes.",0.20365535248041775,0.2741514360313316,0.21148825065274157,,0.023498694516971282,0.21671018276762402,0.07049608355091384
analyze market conditions to determine optimum times to execute securities transactions.,0.4782608695652174,,0.2111801242236025,,0.16149068322981366,0.14906832298136646,
"analyze network data to determine network usage, disk space availability, or server function.",0.3962264150943396,,0.32075471698113206,,0.2830188679245283,,
"analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.",0.2445980985306828,0.05315471045808125,0.1512532411408816,0.022471910112359553,,0.4083837510803803,0.12013828867761452
"analyze or interpret logistics data involving customer service, forecasting, procurement, manufacturing, inventory, transportation, or warehousing.",0.52,,,,0.14,0.34,
"analyze or manipulate bioinformatics data using software packages, statistical applications, or data mining techniques.",,,,,1.0,,
analyze or synthesize client data to draw conclusions or make recommendations for art therapy.,,,,,1.0,,
analyze or synthesize client data to draw conclusions or make recommendations for therapy.,0.34375,,0.25,,0.1328125,0.2734375,
"analyze organic or inorganic compounds to determine chemical or physical properties, composition, structure, relationships, or reactions, using chromatography, spectroscopy, or spectrophotometry techniques.",0.3077844311377245,0.043712574850299404,0.4149700598802395,,0.00718562874251497,0.16526946107784432,0.06107784431137724
"analyze organizational, occupational, and industrial data to facilitate organizational functions and provide technical information to business, industry, and government.",0.3055555555555556,,0.39197530864197533,,0.06481481481481481,0.1419753086419753,0.09567901234567901
analyze patrons' hair and other physical features to determine and recommend beauty treatment or suggest hair styles.,0.2868217054263566,,0.19379844961240317,,0.07364341085271318,0.36046511627906974,0.08527131782945735
analyze patrons' requests to determine needed information and assist in furnishing or locating that information.,0.2214111922141119,,0.6861313868613139,,0.046228710462287104,0.046228710462287104,
"analyze performance data to determine effectiveness of instructional systems, courses, or instructional materials.",0.39669421487603307,,0.12396694214876033,,0.024793388429752067,0.32231404958677684,0.13223140495867766
analyze physical findings and medical histories to make diagnoses according to oriental medicine traditions.,,,0.5106382978723404,,0.48936170212765956,,
analyze potential loan markets and develop referral networks to locate prospects for loans.,,,,,0.45454545454545453,0.5454545454545454,
analyze potential loan markets to find opportunities to promote loans and financial services.,0.36764705882352944,,0.22058823529411764,,0.0588235294117647,0.35294117647058826,
"analyze price proposals, financial reports, and other data and information to determine reasonable prices.",0.5925925925925926,,,,0.4074074074074074,,
analyze problems to develop solutions involving computer hardware and software.,0.33333333333333326,,0.4266666666666667,,0.24,,
"analyze recipes to assign prices to menu items, based on food, labor, and overhead costs.",0.3684210526315789,,,,0.1929824561403509,0.43859649122807004,
"analyze records, reports, test results, or examination information to diagnose medical condition of patient.",0.26004228329809725,0.09513742071881609,0.47780126849894294,,0.002114164904862579,0.09513742071881609,0.06976744186046512
"analyze regional energy markets, including energy pricing, market structures, energy generation competition, and energy transmission constraints.",,,,,1.0,,
"analyze research data to determine its significance, using computers.",0.2537313432835821,0.13432835820895525,0.291044776119403,,0.014925373134328356,0.1791044776119403,0.12686567164179105
analyze statistical data and reports to identify and determine causes of personnel problems and develop recommendations for improvement of organization's personnel policies and practices.,,,,,1.0,,
analyze system performance or operational requirements.,0.1757188498402556,0.13418530351437702,0.46166134185303515,,0.014376996805111819,0.14696485623003197,0.0670926517571885
analyze target companies or investment opportunities to inform investment decisions.,0.5927342256214149,,0.1491395793499044,,0.02676864244741874,0.1873804971319312,0.04397705544933078
analyze technology trends to identify markets for future product development or to improve sales of existing products.,,,,,0.5909090909090909,0.4090909090909091,
"analyze test data, making computations as necessary, to determine test results.",0.4416666666666666,0.14583333333333334,0.12916666666666668,,0.008333333333333333,0.1625,0.1125
analyze test results and develop a treatment plan.,,,,,1.0,,
"analyze test results, machine error messages, or information obtained from operators to diagnose equipment problems.",,,,,1.0,,
analyze the effectiveness of marketing tactics or channels.,,,,,1.0,,
"analyze the efficiency of water delivery structures, such as dams, tainter gates, canals, pipes, penstocks, or cofferdams.",,,,,1.0,,
"analyze the financial details of past, present, and expected operations to identify development opportunities and areas where improvement is needed.",0.30263157894736836,,,,0.40789473684210525,0.2894736842105264,
"analyze the layout, instrumentation, or function of electrical generation or transmission facilities.",0.24311926605504589,,0.28440366972477066,,0.09174311926605505,0.3073394495412844,0.07339449541284404
"analyze the probable outcomes of cases, using knowledge of legal precedents.",0.28846153846153844,,,,0.7115384615384616,,
"analyze training needs to design employee development, language training and health and safety programs.",,,,,1.0,,
analyze training needs to develop new training programs or modify and improve existing programs.,,,,,1.0,,
"analyze trends in sales prices, construction costs, and rents, to assess property values or determine the accuracy of assessments.",0.4,,,,0.6,,
analyze user needs and recommend appropriate hardware.,0.4047619047619048,,0.2261904761904762,,0.047619047619047616,0.32142857142857145,
analyze user needs and software requirements to determine feasibility of design within time and cost constraints.,0.22485461985785052,0.02412233469739393,0.3747576997630842,0.034029722162395006,,0.2774068490200301,0.06482877449924618
"analyze, estimate, or report production costs.",0.6153846153846154,,,,0.3846153846153847,,
"analyze, interpret, or create graphical representations of energy data, using engineering software.",0.3414634146341464,0.09407665505226481,0.1986062717770035,,0.0034843205574912888,0.2961672473867596,0.06620209059233449
"analyze, interpret, or disseminate system performance data.",0.1601941747572816,0.09223300970873788,0.5436893203883495,,0.08737864077669903,0.11650485436893204,
answer applicants' questions about benefits and claim procedures.,0.2359550561797753,,0.5955056179775281,,0.16853932584269665,,
answer clients' questions about the purposes and details of financial plans and strategies.,0.18975332068311201,0.030360531309297917,0.428842504743833,,0.013282732447817837,0.27514231499051234,0.06261859582542695
"answer clients' questions regarding construction work, financing, maintenance, repairs, and appraisals.",0.4235294117647059,,0.2235294117647059,,0.1176470588235294,0.2352941176470588,
"answer customer inquiries or explain cost, availability, policies, and procedures of facilities.",0.42105263157894735,,,,0.5789473684210527,,
answer customers' questions about merchandise and advise customers on merchandise selection.,0.3649122807017544,0.07719298245614035,0.2526315789473684,,0.0456140350877193,0.2596491228070176,
answer customers' questions about postal services and regulations.,,,,,1.0,,
"answer customers' questions about products, prices, availability, or credit terms.",0.42762237762237765,0.045104895104895106,0.33146853146853145,0.026223776223776224,,0.14825174825174822,0.02132867132867133
"answer customers' questions about products, prices, availability, product uses, and credit terms.",0.36883942766295713,0.03577106518282989,0.3767885532591415,0.025437201907790145,,0.1542130365659777,0.038950715421303655
"answer customers' questions, and explain available services such as deposit accounts, bonds, and securities.",0.34375,,0.421875,,0.234375,,
"answer customers' questions, and provide information on procedures or policies.",0.32031993905922673,0.030279946676823464,0.31270234241096934,0.21557798514568657,,0.078461245477052,0.04265854123024186
"answer incoming calls, greeting callers, providing information, transferring calls or taking messages as necessary.",,,,0.9428571428571427,0.05714285714285714,,
"answer inquiries concerning the progress of medical cases, within the limits of confidentiality laws.",,,,,1.0,,
"answer inquiries from current or prospective customers regarding methods, materials, or price ranges.",0.26903553299492383,,0.1446700507614213,0.5253807106598984,0.02030456852791878,0.04060913705583756,
"answer inquiries from the general public regarding judicial procedures, court appearances, trial dates, adjournments, outstanding warrants, summonses, subpoenas, witness fees, or payment of fines.",0.3018867924528302,,0.5471698113207547,,0.1509433962264151,,
answer inquiries from the public concerning animal control operations.,0.22,,0.12666666666666668,0.6333333333333333,0.02,,
"answer inquiries pertaining to hotel policies and services, and resolve occupants' complaints.",0.49090909090909096,,0.2909090909090909,,0.21818181818181817,,
"answer inquiries pertaining to hotel services, guest registration, and travel directions, or make recommendations regarding shopping, dining, or entertainment.",0.5290322580645161,,0.10967741935483871,,0.04516129032258064,0.3161290322580645,
"answer inquiries regarding information such as schedules, accommodations, procedures, and policies.",0.4504830917874396,0.025362318840579712,0.2379227053140097,0.213768115942029,0.010869565217391304,0.061594202898550734,
"answer passengers' questions about flights, aircraft, weather, travel routes and services, arrival times, or schedules.",0.4,,0.44,,0.16,,
answer questions about game rules and casino policies.,,,,,1.0,,
answer questions about game rules or casino policies.,,,,,1.0,,
answer questions about product features and benefits.,0.37823275862068967,0.029094827586206892,0.375,0.030172413793103446,,0.15948275862068967,0.028017241379310345
answer questions about records or files.,0.48872180451127817,,0.2030075187969925,0.15037593984962405,0.15789473684210525,,
answer questions and provide future tax planning to clients.,,,0.6470588235294117,,0.35294117647058826,,
"answer questions from passengers concerning train rules, stations, and timetable information.",0.4705882352941176,,0.33333333333333326,,0.19607843137254904,,
answer questions from taxpayers and assist them in completing tax forms.,0.33333333333333326,,0.5625,,0.10416666666666669,,
answer questions from the public and media.,,,0.42105263157894735,,0.5789473684210527,,
"answer questions or provide advice to the public regarding licensing policies, procedures, or regulations.",0.3587786259541985,,0.42748091603053434,,0.2137404580152672,,
"answer questions regarding examinations, eligibility, salaries, benefits, and other pertinent information.",0.3140096618357488,,0.4927536231884059,,0.06763285024154589,0.12560386473429952,
"answer questions regarding mail regulations and procedures, postage rates, and post office boxes.",,,,,1.0,,
answer questions regarding the store and its merchandise.,0.4022988505747127,,0.28735632183908044,0.1954022988505747,0.11494252873563218,,
"answer routine telephone or in-person reference inquiries, referring patrons to librarians for further assistance, when necessary.",,,,,1.0,,
answer telephone calls and respond to inquiries or transfer calls.,,,,0.8947368421052632,0.10526315789473684,,
"answer telephones and give information to callers, take messages, or transfer calls to appropriate individuals.",0.11014492753623188,,,0.8405797101449275,0.04927536231884058,,
answer telephones to provide information and receive orders.,,,,,1.0,,
"answer telephones, and route calls or deliver messages.",,,,0.8571428571428571,0.14285714285714285,,
"answer telephones, direct calls, and take messages.",,,,0.8541666666666665,0.14583333333333334,,
"answer telephones, responding to questions or requests.",0.18571428571428572,,,0.7357142857142859,0.07857142857142857,,
answer user inquiries regarding computer software or hardware operation to resolve problems.,0.27413127413127414,0.1081081081081081,0.44787644787644787,0.0694980694980695,0.03088803088803089,0.0694980694980695,
"apply elements of music theory to create musical and tonal structures, including harmonies and melodies.",,,0.5652173913043478,,0.43478260869565216,,
apply finger and hand pressure to specific points of the body.,,,,,1.0,,
"apply mathematical or statistical techniques to address practical issues in finance, such as derivative valuation, securities trading, risk management, or financial market regulation.",0.392,,0.28,,0.184,0.14400000000000002,
"apply nanotechnology to improve the performance or reduce the environmental impact of energy products, such as fuel cells or solar cells.",,,,,1.0,,
"apply relevant laws, regulations, policies, or precedents to reach conclusions.",0.33898305084745756,,,,0.3220338983050847,0.33898305084745756,
apply selected research findings to practice.,,,,,1.0,,
"apply standardized mathematical formulas, principles, and methodology to the solution of technological problems involving engineering or physical science.",,,,,1.0,,
"apply story development, directing, cinematography, and editing to animation to create storyboards that show the flow of the animation and map out key scenes and characters.",,,,,1.0,,
"apply theoretical expertise and innovation to create or apply new technology, such as adapting principles for applying computers to new uses.",,,,,1.0,,
"appoint individuals to faculty positions, and evaluate their performance.",,,,,1.0,,
"appraise property values, assessing income potential when relevant.",0.4825581395348838,,0.09883720930232558,,0.09302325581395349,0.32558139534883723,
"appraise, evaluate, and inventory real property and equipment, recording information such as the description, value, and location of property.",0.5,,,,0.5,,
"arrange and conduct sports-related activities, such as training camps, skill-improvement courses, clinics, and pre-season try-outs.",0.5862068965517241,,,,0.41379310344827586,,
"arrange and mount typeset material and illustrations into paste-ups for printing reproduction, based on artists' or editors' layouts.",,,,,1.0,,
