task,directive,feedback_loop,learning,none,task_iteration,validation,not_classified
"Advise licensees or other individuals or groups concerning licensing, permit, or passport regulations.",0.6851,0.0487,0.1623,0.0487,0.0325,0.0227,0.0
"Advise management concerning personnel, managerial, and marketing policies and practices and their potential effects on organizational effectiveness and efficiency.",0.6274000000000001,0.0821,0.12,0.09050000000000001,0.0463,0.0337,0.0
"Advise management on organizing, preparing, or implementing recruiting or retention programs.",0.7353000000000001,0.0588,0.1176,0.0,0.0294,0.0588,0.0
"Advise management on short-term and long-term financial objectives, policies, and actions.",0.6751999999999999,0.057300000000000004,0.0828,0.0637,0.0955,0.0255,0.0
"Advise managers and employees on state and federal employment regulations, collective agreements, benefit and compensation policies, personnel procedures, and classification programs.",0.6,0.0,0.2,0.08,0.04,0.08,0.0
"Advise managers on organizational policy matters, such as equal employment opportunity and sexual harassment, and recommend needed changes.",0.8478,0.0217,0.0217,0.0,0.0435,0.0652,0.0
Advise or assist in obtaining patents or meeting other legal requirements.,0.8428,0.031400000000000004,0.031400000000000004,0.0063,0.050300000000000004,0.0377,0.0
Advise patients about recommended courses of treatment.,0.6679999999999999,0.092,0.166,0.024,0.02,0.03,0.0
Advise patients about therapeutic exercise and nutritional medicine regimens.,0.6111,0.22219999999999998,0.0,0.0556,0.11109999999999999,0.0,0.0
"Advise patients and community members concerning diet, activity, hygiene, and disease prevention.",0.7045,0.0682,0.1591,0.0227,0.0455,0.0,0.0
"Advise patients and community members concerning diet, activity, hygiene, or disease prevention.",0.6207,0.069,0.1724,0.051699999999999996,0.0172,0.069,0.0
"Advise patients and their families on nutritional principles, dietary plans, diet modifications, and food selection and preparation.",0.6733,0.1535,0.0594,0.019799999999999998,0.07429999999999999,0.019799999999999998,0.0
"Advise patients, parents or guardians, and community members concerning diet, activity, hygiene, and disease prevention.",0.5909,0.0909,0.3182,0.0,0.0,0.0,0.0
"Advise planning officials on project feasibility, cost-effectiveness, regulatory conformance, or possible alternatives.",0.6667000000000001,0.047599999999999996,0.0,0.0,0.23809999999999998,0.047599999999999996,0.0
"Advise project teams on subjects such as premarket regulatory requirements, export and labeling requirements, or clinical study compliance issues.",0.6429,0.023799999999999998,0.11900000000000001,0.0,0.09519999999999999,0.11900000000000001,0.0
"Advise retail managers on compliance with applicable codes, laws, regulations, or standards.",0.7576,0.0,0.060599999999999994,0.030299999999999997,0.060599999999999994,0.0909,0.0
Advise students on academic and vocational curricula and career issues.,0.5517,0.1724,0.1724,0.10339999999999999,0.0,0.0,0.0
Advise students on academic and vocational curricula and on career issues.,0.6957,0.0761,0.1033,0.0652,0.0435,0.0163,0.0
"Advise students on academic and vocational curricula, and on career issues.",0.6167,0.0833,0.1,0.1167,0.05,0.0333,0.0
"Advise students on course selection, career decisions, and other academic and vocational concerns.",0.7609,0.0652,0.0815,0.0435,0.0435,0.0054,0.0
"Advise students on internships, prospective employers, and job placement services.",0.9167000000000001,0.0,0.0556,0.0278,0.0,0.0,0.0
"Advise students on issues such as course selection, progress toward graduation, and career decisions.",0.685,0.0716,0.09910000000000001,0.0765,0.0559,0.0118,0.0
"Advocate for patients' and families' needs, or provide emotional support for patients and their families.",0.4487,0.11539999999999999,0.0128,0.4103,0.0128,0.0,0.0
"Aid in planning work assignments in accordance with worker performance, machine capacity, production schedules, or anticipated delays.",0.9094,0.031400000000000004,0.0,0.0279,0.0279,0.0034999999999999996,0.0
"Allocate print space for story text, photos, and illustrations according to space parameters and copy significance, using knowledge of layout principles.",0.7447,0.0638,0.0,0.0426,0.1489,0.0,0.0
Analyze acquisitions to ensure conformance with strategic goals or regulatory requirements.,0.9545,0.0,0.0,0.0455,0.0,0.0,0.0
Analyze all aspects of corporate logistics to determine the most cost-effective or efficient means of transporting products or supplies.,0.9434999999999999,0.045700000000000005,0.0,0.006500000000000001,0.0022,0.0022,0.0
Analyze and interpret news and information received from various sources to broadcast the information.,0.9839,0.0054,0.0027,0.0054,0.0027,0.0,0.0
"Analyze and interpret patient, nursing, or information systems data to improve nursing services.",0.9063,0.0,0.0,0.0313,0.0313,0.0313,0.0
"Analyze and interpret patients' histories, symptoms, physical findings, or diagnostic information to develop appropriate diagnoses.",0.873,0.0794,0.0,0.0,0.0,0.047599999999999996,0.0
"Analyze and interpret results from tests, such as microbial or parasite tests, urine analyses, hormonal assays, fine needle aspirations (FNAs), and polymerase chain reactions (PCRs).",1.0,0.0,0.0,0.0,0.0,0.0,0.0
Analyze and interpret statistical data to identify significant differences in relationships among sources of information.,0.9451,0.0172,0.0069,0.012,0.0137,0.0051,0.0
Analyze and modify compensation and benefits policies to establish competitive programs and ensure compliance with legal requirements.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Analyze and record personnel or operational data and write related activity reports.,0.9668000000000001,0.0113,0.0,0.009300000000000001,0.0126,0.0,0.0
"Analyze and record test data to issue reports that use charts, graphs, or narratives.",0.9944,0.0,0.0,0.0,0.005600000000000001,0.0,0.0
Analyze and report computer network security breaches or attempted breaches.,0.9456,0.0241,0.0031,0.012,0.009899999999999999,0.0052,0.0
"Analyze applicants' financial status, credit, and property evaluations to determine feasibility of granting loans.",0.98,0.0,0.0,0.0,0.0,0.02,0.0
"Analyze archival data, such as birth, death, and disease records.",0.9643,0.0,0.0,0.0,0.035699999999999996,0.0,0.0
"Analyze areas of potential risk to the assets, earning capacity, or success of organizations.",0.9451,0.0245,0.0059,0.0036,0.0053,0.015600000000000001,0.0
"Analyze building codes, by-laws, space and site requirements, and other technical documents and reports to determine their effect on architectural designs.",0.8839,0.035699999999999996,0.0,0.0,0.0,0.08039999999999999,0.0
"Analyze business operations, trends, costs, revenues, financial commitments, and obligations to project future revenues and expenses or to provide advice.",0.8084,0.0509,0.0359,0.018000000000000002,0.07490000000000001,0.012,0.0
Analyze characteristics of animals to identify and classify them.,0.9592,0.0204,0.0204,0.0,0.0,0.0,0.0
Analyze clinical data using appropriate statistical tools.,0.9598,0.0085,0.0085,0.0021,0.0106,0.0106,0.0
"Analyze clinical or survey data, using statistical approaches such as longitudinal analysis, mixed-effect modeling, logistic regression analyses, and model-building techniques.",0.9756,0.0,0.012199999999999999,0.0,0.012199999999999999,0.0,0.0
"Analyze competitive market strategies through analysis of related product, market, or share trends.",0.9477,0.018500000000000003,0.0054,0.0054,0.0218,0.0011,0.0
"Analyze corporate intelligence data to identify trends, patterns, or warnings indicating threats to security of people, assets, information, or infrastructure.",0.9758,0.019299999999999998,0.0,0.0,0.0,0.0048,0.0
Analyze credit data and financial statements to determine the degree of risk involved in extending credit or lending money.,0.9451999999999999,0.022799999999999997,0.0091,0.0,0.0,0.022799999999999997,0.0
Analyze data gathered and develop solutions or alternative methods of proceeding.,0.9539,0.014499999999999999,0.0060999999999999995,0.0048,0.0158,0.0048,0.0
"Analyze data on conditions such as site location, drainage, or structure location for environmental reports or landscaping plans.",0.9615,0.0,0.0192,0.0,0.0,0.0192,0.0
Analyze data to determine answers to questions from customers or members of the public.,0.9420999999999999,0.022000000000000002,0.0058,0.0118,0.013600000000000001,0.0048,0.0
Analyze data to determine the effectiveness of specific treatments or therapy approaches.,0.8955,0.0,0.0746,0.0,0.0,0.029900000000000003,0.0
Analyze data to determine the effectiveness of treatments or therapy approaches.,0.9351,0.0,0.039,0.0,0.0,0.026000000000000002,0.0
Analyze developments in specific field to determine need for revisions in previously published materials and development of new material.,0.8495,0.0645,0.0,0.086,0.0,0.0,0.0
Analyze employment-related data and prepare required reports.,0.9595,0.0203,0.0,0.0203,0.0,0.0,0.0
Analyze equipment performance records to assess equipment functioning.,0.9551999999999999,0.0269,0.013500000000000002,0.0045000000000000005,0.0,0.0,0.0
Analyze equipment performance records to determine the need for repair or replacement.,0.988,0.012,0.0,0.0,0.0,0.0,0.0
Analyze existing development or manufacturing procedures and suggest improvements.,0.5655,0.0726,0.1099,0.0131,0.2087,0.0302,0.0
"Analyze expenditures and other financial information to develop plans, policies, or budgets for increasing profits or improving services.",0.8639,0.0438,0.0104,0.0173,0.0554,0.0092,0.0
Analyze experimental data and interpret results to write reports and summaries of findings.,0.8991,0.0282,0.0325,0.0108,0.0217,0.0076,0.0
Analyze financial activities of establishments or departments and provide input into budget planning and preparation processes.,0.9460999999999999,0.0227,0.0016,0.008100000000000001,0.0173,0.0043,0.0
Analyze financial information obtained from clients to determine strategies for meeting clients' financial objectives.,0.9211,0.0,0.0,0.0263,0.0263,0.0263,0.0
Analyze information about supplier performance or procurement program success.,0.9936,0.0013,0.0,0.0,0.0039000000000000003,0.0013,0.0
"Analyze information from interviews, educational and medical records, consultation with other professionals, and diagnostic evaluations to assess clients' abilities, needs, and eligibility for services.",0.9915,0.002,0.0002,0.0027,0.0002,0.0034000000000000002,0.0
Analyze information gathered by investigation and report findings and recommendations.,0.8220000000000001,0.0254,0.0085,0.0,0.0339,0.11019999999999999,0.0
Analyze information obtained from management to conceptualize and define operational problems.,0.9384,0.0317,0.0029,0.0088,0.0078000000000000005,0.0104,0.0
"Analyze information processing or computation needs and plan and design computer systems, using techniques such as structured analysis, data modeling, and information engineering.",0.8915000000000001,0.0346,0.014499999999999999,0.0040999999999999995,0.053899999999999997,0.0014000000000000002,0.0
"Analyze information to determine, recommend, and plan installation of a new system or modification of an existing system.",0.7873,0.0492,0.022799999999999997,0.0062,0.1151,0.019299999999999998,0.0
"Analyze internal processes and recommend and implement procedural or policy changes to improve operations, such as supply changes or the disposal of records.",0.8868,0.026000000000000002,0.0121,0.026000000000000002,0.042699999999999995,0.006500000000000001,0.0
"Analyze inventories to determine how to increase inventory turns, reduce waste, or optimize customer service.",0.8813,0.10679999999999999,0.0015,0.003,0.0074,0.0,0.0
Analyze laboratory findings to check the accuracy of the results.,0.9655,0.0276,0.0,0.0,0.0,0.0069,0.0
"Analyze large molecular datasets, such as raw microarray data, genomic sequence data, or proteomics data, for clinical or basic research purposes.",0.9564,0.034300000000000004,0.0,0.0031,0.0031,0.0031,0.0
Analyze market and delivery systems to assess present and future material availability.,0.9681000000000001,0.0319,0.0,0.0,0.0,0.0,0.0
Analyze market conditions to determine acreage allocations.,0.9,0.1,0.0,0.0,0.0,0.0,0.0
Analyze marketing or sales trends to forecast future conditions.,0.9667,0.013300000000000001,0.013300000000000001,0.0,0.0,0.0067,0.0
"Analyze network data to determine network usage, disk space availability, or server function.",0.927,0.0674,0.0,0.0,0.005600000000000001,0.0,0.0
Analyze new legislation to determine impact on risk exposure.,0.9514,0.0,0.0,0.0069,0.0,0.0417,0.0
"Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.",0.9538,0.015600000000000001,0.0029,0.013300000000000001,0.0089,0.005600000000000001,0.0
"Analyze or interpret logistics data involving customer service, forecasting, procurement, manufacturing, inventory, transportation, or warehousing.",0.9571,0.0286,0.0,0.0143,0.0,0.0,0.0
Analyze or synthesize client data to draw conclusions or make recommendations for therapy.,0.9048999999999999,0.0391,0.0098,0.024900000000000002,0.010700000000000001,0.010700000000000001,0.0
"Analyze organic or inorganic compounds to determine chemical or physical properties, composition, structure, relationships, or reactions, using chromatography, spectroscopy, or spectrophotometry techniques.",0.9627,0.0062,0.0062,0.018600000000000002,0.0062,0.0,0.0
"Analyze organizational, occupational, and industrial data to facilitate organizational functions and provide technical information to business, industry, and government.",0.9523999999999999,0.0115,0.0043,0.0216,0.0058,0.0043,0.0
"Analyze patient's medical history, medication allergies, physical condition, and examination results to verify operation's necessity and to determine best procedure.",0.9773000000000001,0.0,0.0,0.011399999999999999,0.0,0.011399999999999999,0.0
Analyze patrons' hair and other physical features to determine and recommend beauty treatment or suggest hair styles.,0.9167000000000001,0.0,0.0,0.0,0.0833,0.0,0.0
"Analyze performance data to determine effectiveness of instructional systems, courses, or instructional materials.",0.9493,0.0,0.0,0.014499999999999999,0.014499999999999999,0.0217,0.0
Analyze prescribing trends to monitor patient compliance and to prevent excessive usage or harmful interactions.,0.9775,0.0,0.0,0.0,0.011200000000000002,0.011200000000000002,0.0
"Analyze price proposals, financial reports, and other data and information to determine reasonable prices.",0.7631999999999999,0.0789,0.0,0.0,0.0789,0.0789,0.0
Analyze problems and take appropriate action to ensure continuous and reliable operation of equipment and systems.,0.7132,0.2357,0.009399999999999999,0.0121,0.0222,0.0073,0.0
Analyze problems to develop solutions involving computer hardware and software.,0.7868999999999999,0.1451,0.0144,0.0059,0.0421,0.005600000000000001,0.0
Analyze quality control test results and provide feedback and interpretation to production management or staff.,0.9393,0.008,0.0018,0.044800000000000006,0.0,0.0060999999999999995,0.0
"Analyze records, examination information, or test results to diagnose medical conditions.",0.9518000000000001,0.012,0.0,0.0,0.0,0.0361,0.0
"Analyze records, reports, test results, or examination information to diagnose medical condition of patient.",0.9603,0.0199,0.0066,0.0,0.0066,0.0066,0.0
"Analyze research data to determine its significance, using computers.",0.8903,0.0638,0.0064,0.0105,0.0276,0.0014000000000000002,0.0
Analyze statistical data and product specifications to determine standards and establish quality and reliability objectives of finished product.,0.9959,0.0021,0.0,0.0,0.0007000000000000001,0.0014000000000000002,0.0
Analyze statistical data and reports to identify and determine causes of personnel problems and develop recommendations for improvement of organization's personnel policies and practices.,0.9734,0.0053,0.0,0.0053,0.0106,0.0053,0.0
"Analyze survey reports, maps, drawings, blueprints, aerial photography, or other topographical or geologic data.",0.9784,0.0054,0.0,0.0,0.0,0.016200000000000003,0.0
Analyze system performance or operational requirements.,0.8981,0.0527,0.008199999999999999,0.0147,0.021,0.0053,0.0
"Analyze test data to diagnose malfunctions, to determine performance characteristics of systems, or to evaluate effects of system modifications.",0.8212,0.1375,0.0101,0.0053,0.014499999999999999,0.0113,0.0
Analyze test data to identify defects or determine calibration requirements.,0.9573999999999999,0.0022,0.0003,0.0009,0.0015,0.037599999999999995,0.0
"Analyze test data, making computations as necessary, to determine test results.",0.9714,0.0286,0.0,0.0,0.0,0.0,0.0
"Analyze test readings, computer printouts, and trouble reports to determine equipment repair needs and required repair methods.",0.9063,0.0625,0.0313,0.0,0.0,0.0,0.0
"Analyze test results in relation to design or rated specifications and test objectives, and modify or adjust equipment to meet specifications.",0.9109,0.0632,0.0,0.0,0.0115,0.0144,0.0
"Analyze test results, machine error messages, or information obtained from operators to diagnose equipment problems.",0.8427,0.1288,0.0095,0.0024,0.0091,0.0075,0.0
Analyze the effectiveness of marketing tactics or channels.,0.9534,0.011000000000000001,0.0069,0.0040999999999999995,0.0192,0.0055000000000000005,0.0
"Analyze the financial details of past, present, and expected operations to identify development opportunities and areas where improvement is needed.",0.9145,0.0346,0.0092,0.0046,0.0277,0.0092,0.0
Analyze the financial impacts of sustainable manufacturing processes or sustainable product manufacturing.,0.9129999999999999,0.0,0.087,0.0,0.0,0.0,0.0
"Analyze the indications, contraindications, risk complications, and cost-benefit tradeoffs of therapeutic interventions.",0.8416,0.032400000000000005,0.0204,0.0034000000000000002,0.011899999999999999,0.09029999999999999,0.0
"Analyze trends in sales prices, construction costs, and rents, to assess property values or determine the accuracy of assessments.",0.9456,0.0068000000000000005,0.013600000000000001,0.013600000000000001,0.0204,0.0,0.0
Analyze user needs and software requirements to determine feasibility of design within time and cost constraints.,0.9303,0.0174,0.0037,0.0062,0.0311,0.011200000000000002,0.0
Analyze user needs to determine technical requirements.,0.9706999999999999,0.009899999999999999,0.0019,0.0024,0.012,0.003,0.0
Analyze validation test data to determine whether systems or processes have met validation criteria or to identify root causes of production problems.,0.9077,0.0351,0.0026,0.0042,0.0075,0.042800000000000005,0.0
"Analyze, estimate, or report production costs.",0.8558,0.0275,0.038900000000000004,0.0092,0.050300000000000004,0.0183,0.0
"Analyze, interpret, or disseminate system performance data.",0.9164,0.060700000000000004,0.0034999999999999996,0.008199999999999999,0.0084,0.0028000000000000004,0.0
"Analyze, manipulate, or process large sets of data using statistical software.",0.9275,0.0385,0.0015,0.018000000000000002,0.011899999999999999,0.0026,0.0
"Answer clients' questions regarding construction work, financing, maintenance, repairs, and appraisals.",0.75,0.05,0.1,0.05,0.0,0.05,0.0
"Answer customer inquiries or explain cost, availability, policies, and procedures of facilities.",0.5766,0.052199999999999996,0.0167,0.337,0.0097,0.0079,0.0
Answer customer questions regarding problems with their accounts.,0.5281,0.3729,0.0066,0.0891,0.0,0.0033,0.0
Answer customers' questions about merchandise and advise customers on merchandise selection.,0.9364,0.0034000000000000002,0.0447,0.0069,0.0069,0.0017000000000000001,0.0
"Answer customers' questions about products, prices, availability, or credit terms.",0.7243,0.085,0.0742,0.07769999999999999,0.0297,0.009000000000000001,0.0
"Answer customers' questions about products, prices, availability, product uses, and credit terms.",0.7169,0.054900000000000004,0.1229,0.0717,0.027000000000000003,0.006500000000000001,0.0
"Answer customers' questions about services and charges, or direct them to customer service centers.",0.6397999999999999,0.12710000000000002,0.0297,0.1907,0.0,0.0127,0.0
"Answer customers' questions about services, prices, availability, or credit terms.",0.6969,0.0667,0.09820000000000001,0.1168,0.0151,0.0062,0.0
"Answer customers' questions and explain available services, such as deposit accounts, bonds, and securities.",0.7576,0.0,0.12119999999999999,0.060599999999999994,0.060599999999999994,0.0,0.0
"Answer customers' questions, and provide information on procedures or policies.",0.6640999999999999,0.036699999999999997,0.2096,0.0593,0.0097,0.0207,0.0
"Answer incoming calls, greeting callers, providing information, transferring calls or taking messages as necessary.",0.7817000000000001,0.0218,0.0,0.19649999999999998,0.0,0.0,0.0
Answer incoming phone calls.,0.7445999999999999,0.0173,0.0,0.22510000000000002,0.013000000000000001,0.0,0.0
"Answer inquiries concerning the progress of medical cases, within the limits of confidentiality laws.",0.7190000000000001,0.052300000000000006,0.006500000000000001,0.1895,0.026099999999999998,0.006500000000000001,0.0
"Answer inquiries from the general public regarding judicial procedures, court appearances, trial dates, adjournments, outstanding warrants, summonses, subpoenas, witness fees, or payment of fines.",0.925,0.0,0.05,0.0,0.0,0.025,0.0
"Answer inquiries pertaining to hotel policies and services, and resolve occupants' complaints.",0.6593000000000001,0.1319,0.0659,0.1355,0.0073,0.0,0.0
"Answer inquiries regarding information, such as schedules, accommodations, procedures, or policies.",0.611,0.0192,0.27949999999999997,0.063,0.0192,0.008199999999999999,0.0
"Answer inquiries regarding rates, routing, or procedures.",0.6111,0.0,0.3333,0.0556,0.0,0.0,0.0
Answer patients' calls and determine how to assist them.,0.5672999999999999,0.0385,0.0096,0.3846,0.0,0.0,0.0
Answer patrons' questions about gaming machine functions and payouts.,0.8137000000000001,0.08070000000000001,0.0062,0.0745,0.0124,0.0124,0.0
Answer phone calls and direct calls to appropriate parties or take messages.,0.9016,0.0219,0.0,0.0765,0.0,0.0,0.0
Answer questions about game rules and casino policies.,0.6338,0.1636,0.013000000000000001,0.16620000000000001,0.0078000000000000005,0.015600000000000001,0.0
Answer questions about game rules or casino policies.,0.5546,0.16949999999999998,0.023,0.22699999999999998,0.005699999999999999,0.020099999999999996,0.0
Answer questions about product features and benefits.,0.7229000000000001,0.0215,0.17600000000000002,0.0536,0.0151,0.011000000000000001,0.0
Answer questions about records or files.,0.6436,0.09,0.0346,0.1696,0.0311,0.0311,0.0
Answer questions and advise customers regarding loans and transactions.,0.875,0.0,0.0,0.125,0.0,0.0,0.0
"Answer questions and provide technical assistance and information to contractors or the public regarding issues such as well drilling, code requirements, hydrology, and geology.",0.6889,0.0222,0.2,0.0222,0.0667,0.0,0.0
Answer questions from the public and media.,0.6905,0.004699999999999999,0.22219999999999998,0.052199999999999996,0.0123,0.0182,0.0
"Answer questions or provide advice to the public regarding licensing policies, procedures, or regulations.",0.7111,0.0444,0.2,0.0222,0.0222,0.0,0.0
"Answer questions regarding examinations, eligibility, salaries, benefits, and other pertinent information.",0.6,0.0,0.36,0.0,0.0,0.04,0.0
Answer questions regarding the store and its merchandise.,0.8406999999999999,0.046799999999999994,0.0258,0.06559999999999999,0.0187,0.0023,0.0
Answer questions that patients have about their health and well-being.,0.4951,0.10099999999999999,0.2923,0.0661,0.0235,0.022000000000000002,0.0
"Answer routine inquiries, and refer calls not requiring dispatches to appropriate departments and agencies.",0.875,0.0781,0.0,0.046900000000000004,0.0,0.0,0.0
"Answer routine telephone or in-person reference inquiries, referring patrons to librarians for further assistance, when necessary.",0.7667,0.0,0.2,0.0333,0.0,0.0,0.0
"Answer simple questions about clients' businesses, using reference files.",0.8934000000000001,0.0072,0.0236,0.0487,0.0051,0.022000000000000002,0.0
Answer students' questions.,0.39840000000000003,0.0633,0.4664,0.0181,0.0286,0.0252,0.0
Answer telephone calls and respond to inquiries or transfer calls.,0.4357,0.0183,0.0458,0.4907,0.0048,0.0048,0.0
"Answer telephone inquiries, referring callers to pharmacist when necessary.",0.7674,0.04650000000000001,0.0116,0.1744,0.0,0.0,0.0
Answer telephones and assist customers with their questions.,0.7897,0.0582,0.022400000000000003,0.1298,0.0,0.0,0.0
Answer telephones and direct calls to appropriate staff.,0.8859999999999999,0.0155,0.0,0.0984,0.0,0.0,0.0
"Answer telephones and give information to callers, take messages, or transfer calls to appropriate individuals.",0.866,0.0096,0.0,0.11960000000000001,0.0048,0.0,0.0
Answer telephones and schedule appointments.,0.6567000000000001,0.1907,0.0054,0.1362,0.0109,0.0,0.0
"Answer telephones, and route calls or deliver messages.",0.779,0.087,0.0,0.1341,0.0,0.0,0.0
Answer user inquiries regarding computer software or hardware operation to resolve problems.,0.48810000000000003,0.2351,0.1793,0.058499999999999996,0.0281,0.011000000000000001,0.0
"Apply analytic methods or tools to understand, predict, or control logistics operations or processes.",0.9429000000000001,0.0286,0.0286,0.0,0.0,0.0,0.0
Apply customer feedback to service improvement efforts.,0.7541,0.06559999999999999,0.0,0.016399999999999998,0.16390000000000002,0.0,0.0
